a52dec 0.8.0-2
pipewire-audio 1:1.2.7-1
pipewire-module-xrdp 0.2-1
pipewire-session-manager 1:1.2.7-1
pipewire-zeroconf 1:1.2.7-1
pixman 0.44.2-1
pkgconf 2.3.0-1
plasma-activities 6.2.5-1
podofo 0.10.3-1
polkit 126-2
polkit-qt6 0.200.0-1
poppler 25.01.0-1
poppler-data 0.4.12-2
popt 1.19-2
portaudio 1:19.7.0-3
postgresql-libs 17.2-2
ppp 2.5.2-1
procps-ng 4.0.5-2
proj 9.5.1-1
projectm 3.1.12-5
protobuf 29.2-1
psmisc 23.7-1
pulseaudio 17.0+r43+g3e2bb8a1e-1
pulseaudio-alsa 1:1.2.12-4
putty 0.82-1
pycharm-professional 2024.3.2-1
python 3.13.1-1
python-apsw 3.47.1.0-1
python-async-timeout 4.0.3-6
python-attrs 23.2.0-4
python-autocommand 2.2.2-7
python-beautifulsoup4 4.12.3-3
python-brotli 1.1.0-3
python-brotlicffi 1.1.0.0-3
python-cffi 1.17.1-2
python-chardet 5.2.0-6
python-cli_helpers 2.3.1-3
python-click 8.1.7-4
python-configobj 5.0.9-5
python-cryptography 44.0.0-1
python-css-parser 1.0.10-3
python-cssselect 1.2.0-8
python-dateutil 2.9.0-6
python-dbus 1.3.2-5
python-deprecated 1.2.15-2
python-dnspython 1:2.7.0-1
python-docutils 1:0.21.2-3
python-faust-cchardet 2.1.19-3
python-feedparser 6.0.11-3
python-filelock 3.17.0-1
python-gobject 3.50.0-2
python-html2text 2024.2.26-2
python-html5-parser 0.4.12-3
python-html5lib 1.1-15
python-i3ipc 2.2.1-8
python-ifaddr 0.2.0-6
python-inflate64 1.0.1-1
python-inflect 7.5.0-1
python-jaconv 0.3.4-3
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-jeepney 0.8.0-4
python-lxml 5.3.0-2
python-lxml-html-clean 0.2.0-2
python-markdown 3.7-2
python-mechanize 1:0.4.10-2
python-more-itertools 10.5.0-1
python-msgpack 1.0.5-3
python-multivolumefile 0.2.3-9
python-netifaces 0.11.0-7
python-packaging 24.2-3
python-pdftotext 2.2.2-9
python-pillow 11.1.0-1
python-pip 25.0-1
python-platformdirs 4.3.6-2
python-prompt_toolkit 3.0.50-1
python-psutil 6.1.1-1
python-py7zr 0.22.0-4
python-pyaes 1.6.1-12
python-pybcj 1.0.3-1
python-pychm 0.8.6-9
python-pycparser 2.22-3
python-pycryptodome 3.21.0-3
python-pycryptodomex 3.21.0-2
python-pyfzf 0.3.1-2
python-pygments 2.19.1-1
python-pykakasi 2.3.0-2
python-pymysql 1.1.1-2
python-pyperclip 1.9.0-3
python-pyppmd 1.1.1-1
python-pyqt6 6.8.1-1
python-pyqt6-sip 13.10.0-1
python-pyqt6-webengine 6.8.0-2
python-pyzstd 0.16.2-2
python-regex 2024.11.6-2
python-setproctitle 1.3.4-1
python-setuptools 1:75.2.0-4
python-sgmllib3k 1.0.0-7
python-six 1.17.0-1
python-soupsieve 2.6-2
python-sqlglot 26.1.3-1
python-sqlparse 0.5.1-2
python-tabulate 0.9.0-5
python-texttable 1.7.0-3
python-typeguard 4.4.1-1
python-typing_extensions 4.12.2-3
python-unrardll 0.1.7-4
python-wcwidth 0.2.13-3
python-webencodings 0.5.1-12
python-wheel 0.45.0-3
python-wrapt 1.16.0-4
python-xlib 0.33-4
python-xxhash 3.5.0-1
python-zeroconf 0.136.2-1
python-zstandard 0.23.0-2
qca-qt6 2.3.9-4
qemu-common 9.2.0-2
qemu-emulators-full 9.2.0-2
qemu-system-aarch64 9.2.0-2
qemu-system-alpha 9.2.0-2
qemu-system-alpha-firmware 9.2.0-2
qemu-system-arm 9.2.0-2
qemu-system-arm-firmware 9.2.0-2
qemu-system-avr 9.2.0-2
qemu-system-hppa 9.2.0-2
qemu-system-hppa-firmware 9.2.0-2
qemu-system-loongarch64 9.2.0-2
qemu-system-m68k 9.2.0-2
qemu-system-microblaze 9.2.0-2
qemu-system-microblaze-firmware 9.2.0-2
qemu-system-mips 9.2.0-2
qemu-system-or1k 9.2.0-2
qemu-system-ppc 9.2.0-2
qemu-system-ppc-firmware 9.2.0-2
qemu-system-riscv 9.2.0-2
qemu-system-riscv-firmware 9.2.0-2
qemu-system-rx 9.2.0-2
qemu-system-s390x 9.2.0-2
qemu-system-s390x-firmware 9.2.0-2
qemu-system-sh4 9.2.0-2
qemu-system-sparc 9.2.0-2
qemu-system-sparc-firmware 9.2.0-2
qemu-system-tricore 9.2.0-2
qemu-system-x86 9.2.0-2
qemu-system-x86-firmware 9.2.0-2
qemu-system-xtensa 9.2.0-2
qemu-user 9.2.0-2
qhull 2020.2-5
qt4 4.8.7-38
qt4-debug 4.8.7-38
qt5-avif-image-plugin 0.8.7-1
qt5-base 5.15.16+kde+r130-3
qt5-declarative 5.15.16+kde+r22-3
qt5-imageformats 5.15.16+kde+r2-3
qt5-location 5.15.16+kde+r7-3
qt5-svg 5.15.16+kde+r5-3
qt5-translations 5.15.16-3
qt5-wayland 5.15.16+kde+r59-3
qt5-webchannel 5.15.16+kde+r3-3
qt5-webengine 5.15.18-5
qt5-x11extras 5.15.16-3
qt6-5compat 6.8.2-1
qt6-base 6.8.2-2
qt6-declarative 6.8.2-1
qt6-imageformats 6.8.2-1
qt6-multimedia 6.8.2-1
qt6-multimedia-ffmpeg 6.8.2-1
qt6-positioning 6.8.2-1
qt6-shadertools 6.8.2-1
qt6-speech 6.8.2-1
qt6-svg 6.8.2-1
qt6-translations 6.8.2-1
qt6-wayland 6.8.2-1
qt6-webchannel 6.8.2-1
qt6-webengine 6.8.2-1
rapidjson 1.1.0-6
rav1e 0.7.1-1
rclone 1.69.0-1
re2 1:20240702-2
readline 8.2.013-1
reflector 2023-3
rhash 1.4.4-1
rime-bopomofo 0.0.0.20210131-2
rime-cangjie 0.0.0.20240325-1
rime-essay 0.0.0.20230204-2
rime-ice-git r756.a07cdd0-1
rime-luna-pinyin 0.0.0.20230204-2
rime-prelude 0.0.0.20220409-2
rime-stroke 0.0.0.20231207-1
rime-terra-pinyin 0.0.0.20230207-2
rnnoise 1:0.2-1
rofi 1.7.8-1
rsync 3.4.1-2
rtkit 0.13-3
rubberband 4.0.0-1
runc 1.2.4-1
samba 2:4.21.3-1
sbc 2.0-2
sdl12-compat 1.2.68-2
sdl2-compat 2.30.52-1
sdl3 3.2.2-1
sdl_image 1.2.12-9
seabios 1.16.3-1
sed 4.9-3
serd 0.32.4-1
shaderc 2024.4-1
shadow 4.16.0-1
shared-mime-info 2.4-1
slang 2.3.3-3
smbclient 2:4.21.3-1
snappy 1.2.1-2
sof-firmware 2025.01-1
solid 6.10.0-1
sord 0.16.18-1
sound-theme-freedesktop 0.8-6
spandsp 0.0.6-5
spdlog 1.15.0-2
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 2024.4.rc2-1
sqlite 3.48.0-2
squashfuse 0.5.2-1
sratom 0.6.16-1
srt 1.5.4-1
startup-notification 0.12-8
strace 6.13-1
sublime-text-4 4.4192-1
sudo 1.9.16.p2-2
svt-av1 2.3.0-1
systemd 257.2-2
systemd-libs 257.2-2
systemd-sysvcompat 257.2-2
taglib 2.0.2-1
talloc 2.4.2-4
tar 1.35-2
tdb 1.4.12-2
telegram-desktop 5.10.7-1
tevent 1:0.16.1-4
texinfo 7.1.1-1
thunar 4.20.1-1
tigervnc 1.14.1-1
tiny-rdm 1.2.3-2
tinysparql 3.8.2-2
tmux 3.5_a-1
tmux-bash-completion-git r16.f5d5323-2
todoist-appimage 9.9.5-1
tpm2-tss 4.1.3-1
tree 2.2.1-1
tree-sitter 0.24.7-1
tree-sitter-c 0.23.4-1
tree-sitter-lua 0.2.0-1
tree-sitter-markdown 0.3.1-1
tree-sitter-query 0.4.0-1
tree-sitter-vim 0.4.0-1
tree-sitter-vimdoc 3.0.0-1
tslib 1.23-1
ttf-droid 20121017-11
ttf-inconsolata 1:3.000-4
ttf-joypixels 8.0.0-2
ttf-liberation 2.1.5-2
ttf-linux-libertine 5.3.0-10
ttf-sourcecodepro-nerd 3.3.0-1
ttf-twemoji-color 15.1.0-1
typora 1.9.3-1
tzdata 2025a-1
uchardet 0.0.8-3
udisks2 2.10.1-5
unibilium 2.1.2-1
unixodbc 2.3.12-3
unrar 1:7.1.3-1
unzip 6.0-22
upower 1.90.7-1
usbutils 018-1
util-linux 2.40.4-1
util-linux-libs 2.40.4-1
v4l-utils 1.28.1-2
vapoursynth R70-2
vcdimager 2.0.1-5
vde2 2.3.3-6
vdhcoapp-git 2.0.20.r0.g0b40d3e-2
ventoy-bin 1.1.00-2
vid.stab 1.1.1-2
vlc 3.0.21-12
vmaf 3.0.0-1
volume_key 0.3.12-10
vscodium-bin 1.96.4.25026-1
vsqlite++ 0.3.13-9
vulkan-headers 1:1.4.303-1
vulkan-icd-loader 1.4.303-1
w3m 0.5.3.git20230713_1-1
wails-debug 2.9.2-1
wayland 1.23.1-1
webkit2gtk 2.46.5-1
webkit2gtk-4.1 2.46.5-1
webrtc-audio-processing-1 1.3-4
wechat-bin 4.0.1.11-2
wemeet-bin 3.19.2.400-3
which 2.21-6
wireplumber 0.5.7-1
wireshark-cli 4.4.3-1
wireshark-qt 4.4.3-1
woff2 1.0.2-5
wolfssl 5.7.6-1
wpa_supplicant 2:2.11-3
wqy-bitmapfont 1.0.0RC1-6
wqy-microhei 0.2.0_beta-12
wqy-microhei-lite 0.2.0_beta-11
wqy-zenhei 0.9.45-10
x11vnc 1:0.9.16-8
x264 3:0.164.r3108.31e19f9-2
x265 4.0-1
xapp 2.8.8-1
xcb-imdkit-git 1.0.8.r2.g44f5c82-1
xcb-proto 1.17.0-3
xcb-util 0.4.1-2
xcb-util-cursor 0.1.5-1
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcb-util-xrm 1.3-3
xclip 0.13-6
xdg-dbus-proxy 0.1.6-1
xdg-user-dirs 0.18-2
xdg-utils 1.2.1-1
xerces-c 3.3.0-1
xf86-input-libinput 1.5.0-1
xf86-input-synaptics 1.10.0-1
xfconf 4.20.0-2
xkeyboard-config 2.43-1
xorg-bdftopcf 1.1.2-1
xorg-fonts-encodings 1.1.0-1
xorg-iceauth 1.0.10-1
xorg-mkfontscale 1.2.3-1
xorg-server 21.1.15-1
xorg-server-common 21.1.15-1
xorg-sessreg 1.1.3-2
xorg-setxkbmap 1.3.4-2
xorg-smproxy 1.0.7-2
xorg-x11perf 1.7.0-1
xorg-xauth 1.1.3-1
xorg-xbacklight 1.2.4-1
xorg-xcmsdb 1.0.7-1
xorg-xcursorgen 1.0.8-2
xorg-xdpyinfo 1.3.4-2
xorg-xdriinfo 1.0.7-2
xorg-xev 1.2.6-1
xorg-xgamma 1.0.7-2
xorg-xhost 1.0.10-1
xorg-xinit 1.4.3-1
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.4.7-1
xorg-xkbevd 1.1.6-1
xorg-xkbprint 1.0.7-1
xorg-xkbutils 1.0.6-1
xorg-xkill 1.0.6-2
xorg-xlsatoms 1.1.4-2
xorg-xlsclients 1.1.5-2
xorg-xmodmap 1.0.11-2
xorg-xpr 1.2.0-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xrdb 1.2.2-2
xorg-xrefresh 1.1.0-1
xorg-xset 1.2.5-2
xorg-xsetroot 1.1.3-2
xorg-xvinfo 1.1.5-2
xorg-xwd 1.0.9-2
xorg-xwininfo 1.1.6-2
xorg-xwud 1.0.7-1
xorgproto 2024.1-2
xorgxrdp 0.10.3-1
xorgxrdp-debug 0.10.3-1
xrdp 0.10.2-4
xrdp-debug 0.10.2-4
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.6.4-1
yajl 2.1.0-6
yaml-cpp 0.8.0-2
yay 12.4.2-1
yesplaymusic-plus 0.4.9-7
zeromq 4.3.5-2
zerotier-one 1.14.2-4
zimg 3.0.5-1
zip 3.0-11
zix 0.6.2-1
zlib 1:1.3.1-2
zlib-ng 2.2.3-2
zsh 5.9-5
zsh-completions 0.35.0-2
zstd 1.5.6-1
zvbi 0.2.43-1
